Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm),,,States,Concentration,Pesticide Data Table in 2018,,,
CA1801080542CCNY1,CC,160,Chlorpyrifos,C,0.0017,0.001,M,GT,,Q,,O,805,35,0.1,,,CA,0,Highest Concentration,States,Pesticide Names,States
CA1801080542CCNY1,CC,666,Carbendazim (MBC),B,0.016,0.001,M,LU,,,,O,805,64,3,,,CA,0.016,8.493,CA,Azoxystrobin,Highest Concentration
CA1801160001AZTX1P,AZ,AES,Methoxyfenozide,I,0.0054,0.002,M,LU,,,,O,805,52,3,,,CA,0.0054,8.989,CO,Ametoctradin,8.493
CA1801160149AZTX1P,AZ,AGW,Chlorantraniliprole,I,0.0077,0.005,M,LU,,,,O,805,52,2.5,,,CA,0.0077,11.422,FL,Boscalid,8.989
CA1801160521AZTX1,AZ,AES,Methoxyfenozide,I,0.0034,0.002,M,LU,,,,O,805,52,3,,,CA,0.0034,9.7514,MD,Azoxystrobin,11.422
CA1801160533AZTX1,AZ,AES,Methoxyfenozide,I,0.0021,0.002,M,LU,,,,O,805,52,3,,,CA,0.0021,14.709,MI,Penthiopyrad,9.7514
CA1801160549AZTX1,AZ,AES,Methoxyfenozide,I,0.0054,0.002,M,LU,,,,O,805,52,3,,,CA,0.0054,3.8,NC,Permethrin Total,14.709
CA1801080499CCNY1,CC,B80,Acetamiprid,A,0.0017,0.001,M,LU,,Q,,O,805,52,1.2,,,CA,0.0017,12.8139,NY,Ametoctradin,3.8
CA1801080542CCNY1,CC,B80,Acetamiprid,A,0.0017,0.001,M,LU,,Q,,O,805,52,1.2,,,CA,0.0017,16.7255,OH,Ametoctradin,12.8139
CA1801160149CCNY1P,CC,B80,Acetamiprid,A,0.0072,0.001,M,LU,,,,O,805,52,1.2,,,CA,0.0072,22.9095,TX,Ametoctradin,16.7255
CA1801220556CGFL1,CG,B61,Pyraclostrobin,F,0.0025,0.0025,M,LU,,,,O,805,52,5,,,CA,0.0025,6.4944,WA,Azoxystrobin,22.9095
CA1801020010GKOH1,GK,781,Cyfluthrin,O,0.301,0.008,M,GT,,,,O,805,35,7,,,CA,0.301,,,,6.4944
CA1801020010GKOH1,GK,B79,Trifloxystrobin,F,0.19,0.002,M,LU,,,,O,805,52,30,,,CA,0.19,,,,0
CA1801020010GKOH1,GK,230,Pendimethalin,F,0.005,0.003,M,GT,,Q,,O,805,35,0.2,,,CA,0.005,,,,
CA1801020010GKOH1,GK,B61,Pyraclostrobin,F,0.0033,0.002,M,LU,,Q,,O,805,52,16,,,CA,0.0033,,,,
CA1801020010GKOH1,GK,B48,Azoxystrobin,F,0.0033,0.002,M,LU,,Q,,O,805,52,25,,,CA,0.0033,,,,
CA1801020010GKOH1,GK,AHT,Fluopicolide,A,0.0115,0.002,M,LU,,,,O,805,52,18,,,CA,0.0115,,,,
CA1801020010GKOH1,GK,134,DCPA,A,0.028,0.001,M,GT,,,,O,805,35,5,,,CA,0.028,,,,
CA1801020010GKOH1,GK,AES,Methoxyfenozide,I,0.0789,0.01,M,LU,,,,O,805,52,30,,,CA,0.0789,,,,
CA1801020010GKOH1,GK,AKG,Fluopyram,A,1.9796,0.002,M,LU,,,,O,805,52,50,,,CA,1.9796,,,,
CA1801020010GKOH1,GK,597,Cypermethrin,O,1.7454,0.012,M,GT,,,,O,805,35,14,,,CA,1.7454,,,,
CA1801020010GKOH1,GK,ANE,Flupyradifurone,I,1.7189,0.03,M,LU,,,,O,805,52,40,,,CA,1.7189,,,,
CA1801020010GKOH1,GK,AMB,Cyantraniliprole,I,0.7289,0.01,M,LU,,,,O,805,52,30,,,CA,0.7289,,,,
CA1801020010GKOH1,GK,AGW,Chlorantraniliprole,I,0.6969,0.01,M,LU,,,,O,805,52,11,,,CA,0.6969,,,,
CA1801020017GKOH1,GK,ANE,Flupyradifurone,I,2.9537,0.03,M,LU,,,,O,805,52,40,,,CA,2.9537,,,,
CA1801020017GKOH1,GK,B23,Fludioxonil,A,0.0083,0.005,M,LU,,Q,,O,805,52,10,,,CA,0.0083,,,,
CA1801020017GKOH1,GK,AHT,Fluopicolide,A,0.0081,0.002,M,LU,,,,O,805,52,18,,,CA,0.0081,,,,
CA1801020017GKOH1,GK,230,Pendimethalin,F,0.005,0.003,M,GT,,Q,,O,805,35,0.2,,,CA,0.005,,,,
CA1801020017GKOH1,GK,B61,Pyraclostrobin,F,0.0033,0.002,M,LU,,Q,,O,805,52,16,,,CA,0.0033,,,,
CA1801020017GKOH1,GK,AGY,Spinetoram,I,0.0166,0.01,M,LU,,Q,,O,805,52,10,,,CA,0.0166,,,,
CA1801020017GKOH1,GK,134,DCPA,A,0.0143,0.001,M,GT,,,,O,805,35,5,,,CA,0.0143,,,,
CA1801020017GKOH1,GK,597,Cypermethrin,O,2.4956,0.012,M,GT,,,,O,805,35,14,,,CA,2.4956,,,,
CA1801020017GKOH1,GK,AKG,Fluopyram,A,2.4614,0.002,M,LU,,,,O,805,52,50,,,CA,2.4614,,,,
CA1801020017GKOH1,GK,AGW,Chlorantraniliprole,I,0.9573,0.01,M,LU,,,,O,805,52,11,,,CA,0.9573,,,,
CA1801020017GKOH1,GK,AMB,Cyantraniliprole,I,0.761,0.01,M,LU,,,,O,805,52,30,,,CA,0.761,,,,
CA1801020017GKOH1,GK,AGX,Mandipropamid,N,0.6632,0.005,M,LU,,,,O,805,52,25,,,CA,0.6632,,,,
CA1801020017GKOH1,GK,781,Cyfluthrin,O,0.4416,0.008,M,GT,,,,O,805,35,7,,,CA,0.4416,,,,
CA1801020017GKOH1,GK,B79,Trifloxystrobin,F,0.2588,0.002,M,LU,,,,O,805,52,30,,,CA,0.2588,,,,
CA1801020043GKOH1,GK,AHT,Fluopicolide,A,0.0097,0.002,M,LU,,,,O,805,52,18,,,CA,0.0097,,,,
CA1801020043GKOH1,GK,B23,Fludioxonil,A,0.0083,0.005,M,LU,,Q,,O,805,52,10,,,CA,0.0083,,,,
CA1801020043GKOH1,GK,230,Pendimethalin,F,0.005,0.003,M,GT,,Q,,O,805,35,0.2,,,CA,0.005,,,,
CA1801020043GKOH1,GK,134,DCPA,A,0.0168,0.001,M,GT,,,,O,805,35,5,,,CA,0.0168,,,,
CA1801020043GKOH1,GK,AGY,Spinetoram,I,0.0166,0.01,M,LU,,Q,,O,805,52,10,,,CA,0.0166,,,,
CA1801020043GKOH1,GK,AKG,Fluopyram,A,2.475,0.002,M,LU,,,,O,805,52,50,,,CA,2.475,,,,
CA1801020043GKOH1,GK,AMB,Cyantraniliprole,I,1.1288,0.01,M,LU,,,,O,805,52,30,,,CA,1.1288,,,,
CA1801020043GKOH1,GK,AGW,Chlorantraniliprole,I,0.8559,0.01,M,LU,,,,O,805,52,11,,,CA,0.8559,,,,
CA1801020043GKOH1,GK,AGX,Mandipropamid,N,0.765,0.005,M,LU,,,,O,805,52,25,,,CA,0.765,,,,
CA1801020043GKOH1,GK,781,Cyfluthrin,O,0.4035,0.008,M,GT,,,,O,805,35,7,,,CA,0.4035,,,,
CA1801020043GKOH1,GK,B79,Trifloxystrobin,F,0.3844,0.002,M,LU,,,,O,805,52,30,,,CA,0.3844,,,,
CA1801020043GKOH1,GK,AES,Methoxyfenozide,I,0.2379,0.01,M,LU,,,,O,805,52,30,,,CA,0.2379,,,,
CA1801020043GKOH1,GK,ANE,Flupyradifurone,I,3.5765,0.03,M,LU,,,,O,805,52,40,,,CA,3.5765,,,,
CA1801020043GKOH1,GK,597,Cypermethrin,O,2.5218,0.012,M,GT,,,,O,805,35,14,,,CA,2.5218,,,,
CA1801020150GKOH1A,GK,AHT,Fluopicolide,A,0.0098,0.002,M,LU,,,,O,805,52,18,,,CA,0.0098,,,,
CA1801020150GKOH1A,GK,134,DCPA,A,0.0536,0.001,M,GT,,,,O,805,35,5,,,CA,0.0536,,,,
CA1801020476GKOH1,GK,AGW,Chlorantraniliprole,I,1.3239,0.01,M,LU,,,,O,805,52,11,,,CA,1.3239,,,,
CA1801020476GKOH1,GK,781,Cyfluthrin,O,0.5626,0.008,M,GT,,,,O,805,35,7,,,CA,0.5626,,,,
CA1801020476GKOH1,GK,B61,Pyraclostrobin,F,0.0033,0.002,M,LU,,Q,,O,805,52,16,,,CA,0.0033,,,,
CA1801020476GKOH1,GK,B23,Fludioxonil,A,0.0083,0.005,M,LU,,Q,,O,805,52,10,,,CA,0.0083,,,,
CA1801020476GKOH1,GK,230,Pendimethalin,F,0.005,0.003,M,GT,,Q,,O,805,35,0.2,,,CA,0.005,,,,
CA1801020476GKOH1,GK,AHT,Fluopicolide,A,0.0236,0.002,M,LU,,,,O,805,52,18,,,CA,0.0236,,,,
CA1801020476GKOH1,GK,AGY,Spinetoram,I,0.0166,0.01,M,LU,,Q,,O,805,52,10,,,CA,0.0166,,,,
CA1801020476GKOH1,GK,AKW,Fluxapyroxad,A,0.0131,0.003,M,LU,,,,O,805,52,4,,,CA,0.0131,,,,
CA1801020476GKOH1,GK,B43,Thiamethoxam,A,0.05,0.03,M,LU,,Q,,O,805,52,3,,,CA,0.05,,,,
CA1801020476GKOH1,GK,134,DCPA,A,0.041,0.001,M,GT,,,,O,805,35,5,,,CA,0.041,,,,
CA1801020476GKOH1,GK,597,Cypermethrin,O,0.4566,0.012,M,GT,,,,O,805,35,14,,,CA,0.4566,,,,
CA1801020476GKOH1,GK,AES,Methoxyfenozide,I,0.2259,0.01,M,LU,,,,O,805,52,30,,,CA,0.2259,,,,
CA1801020476GKOH1,GK,ANE,Flupyradifurone,I,0.1966,0.03,M,LU,,,,O,805,52,40,,,CA,0.1966,,,,
CA1801020513GKOH1,GK,B79,Trifloxystrobin,F,0.3926,0.002,M,LU,,,,O,805,52,30,,,CA,0.3926,,,,
CA1801020513GKOH1,GK,781,Cyfluthrin,O,0.2652,0.008,M,GT,,,,O,805,35,7,,,CA,0.2652,,,,
CA1801020513GKOH1,GK,B61,Pyraclostrobin,F,0.0033,0.002,M,LU,,Q,,O,805,52,16,,,CA,0.0033,,,,
CA1801020513GKOH1,GK,230,Pendimethalin,F,0.005,0.003,M,GT,,Q,,O,805,35,0.2,,,CA,0.005,,,,
CA1801020513GKOH1,GK,AHT,Fluopicolide,A,0.0182,0.002,M,LU,,,,O,805,52,18,,,CA,0.0182,,,,
CA1801020513GKOH1,GK,AGY,Spinetoram,I,0.0166,0.01,M,LU,,Q,,O,805,52,10,,,CA,0.0166,,,,
CA1801020513GKOH1,GK,AES,Methoxyfenozide,I,0.1262,0.01,M,LU,,,,O,805,52,30,,,CA,0.1262,,,,
CA1801020513GKOH1,GK,134,DCPA,A,0.0521,0.001,M,GT,,,,O,805,35,5,,,CA,0.0521,,,,
CA1801020513GKOH1,GK,597,Cypermethrin,O,2.9864,0.012,M,GT,,,,O,805,35,14,,,CA,2.9864,,,,
CA1801020513GKOH1,GK,AKG,Fluopyram,A,2.9353,0.002,M,LU,,,,O,805,52,50,,,CA,2.9353,,,,
CA1801020513GKOH1,GK,ANE,Flupyradifurone,I,1.7087,0.03,M,LU,,,,O,805,52,40,,,CA,1.7087,,,,
CA1801020513GKOH1,GK,AMB,Cyantraniliprole,I,1.3384,0.01,M,LU,,,,O,805,52,30,,,CA,1.3384,,,,
