Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm),,,Pesticide Data Table in 2022,,
CA2201100004BUNY1A,BU,AFX,Novaluron,A,0.0067,0.0011,M,GT,CA,,,O,805,35,20,,CA,States,Highest Concentration,Pesticide Name
CA2201100004BUNY1A,BU,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",O,0.006,0.0036,M,GT,CA,Q,,O,805,35,10,,CA,CA,9.9,Chlorpropham
CA2201100004BUNY1A,BU,930,Bifenthrin,O,0.0018,0.0011,M,GT,CA,Q,,O,805,35,1,,CA,CO,13,Chlorpropham
CA2201100004BUNY1B,BU,AFX,Novaluron,A,0.013,0.0011,M,GT,CA,,,O,805,35,20,,CA,FL,9.9,Chlorpropham
CA2201100004BUNY1B,BU,930,Bifenthrin,O,0.0018,0.0011,M,GT,CA,Q,,O,805,35,1,,CA,MD,9.9,Chlorpropham
CA2201100004BUNY1B,BU,910,"DDE p,p'",A,0.0018,0.0011,M,GT,CA,Q,,O,805,35,1.25 AL,,CA,MI,16,Chlorpropham
CA2201100004BUNY1B,BU,222,Permethrin cis,O,0.0018,0.0011,M,GT,CA,Q,,O,805,35,3,,CA,MO,13.6,Glyphosate
CA2201100004BUNY1B,BU,70,Piperonyl butoxide,I,0.003,0.0018,M,GT,CA,Q,,O,805,35,0.25,,CA,NY,14.7229,O-Phenylphenol
CA2201100004BUNY1B,BU,223,Permethrin trans,O,0.0023,0.0014,M,GT,CA,Q,,O,805,35,3,,CA,OH,12,Chlorpropham
CA2201100004BUNY1B,BU,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",O,0.006,0.0036,M,GT,CA,Q,,O,805,35,10,,CA,TX,10,Chlorpropham
CA2201100513BUNY1,BU,910,"DDE p,p'",A,0.0018,0.0011,M,GT,CA,Q,,O,805,35,1.25 AL,,CA,WA,15,Chlorpropham
CA2201100513BUNY1,BU,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",O,0.006,0.0036,M,GT,CA,Q,,O,805,35,10,,CA,,,
CA2201100513BUNY1,BU,AFX,Novaluron,A,0.018,0.0011,M,GT,CA,,,O,805,35,20,,CA,,,
CA2201100545BUNY1,BU,910,"DDE p,p'",A,0.0018,0.0011,M,GT,CA,Q,,O,805,35,1.25 AL,,CA,,,
CA2201100546BUNY1,BU,AFX,Novaluron,A,0.0064,0.0011,M,GT,CA,,,O,805,35,20,,CA,,,
CA2201100546BUNY1,BU,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",O,0.006,0.0036,M,GT,CA,Q,,O,805,35,10,,CA,,,
CA2201100546BUNY1,BU,930,Bifenthrin,O,0.0018,0.0011,M,GT,CA,Q,,O,805,35,1,,CA,,,
CA2201100554BUNY1,BU,AFX,Novaluron,A,0.006,0.0011,M,GT,CA,,,O,805,35,20,,CA,,,
CA2201100554BUNY1,BU,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",O,0.006,0.0036,M,GT,CA,Q,,O,805,35,10,,CA,,,
CA2201100569BUNY1P,BU,AFX,Novaluron,A,0.0067,0.0011,M,GT,CA,,,O,805,35,20,,CA,,,
CA2201100569BUNY1P,BU,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",O,0.006,0.0036,M,GT,CA,Q,,O,805,35,10,,CA,,,
CA2201100570BUNY1,BU,930,Bifenthrin,O,0.0018,0.0011,M,GT,CA,Q,,O,805,35,1,,CA,,,
CA2201100570BUNY1,BU,910,"DDE p,p'",A,0.0018,0.0011,M,GT,CA,Q,,O,805,35,1.25 AL,,CA,,,
CA2201100570BUNY1,BU,222,Permethrin cis,O,0.0018,0.0011,M,GT,CA,Q,,O,805,35,3,,CA,,,
CA2201100570BUNY1,BU,AFX,Novaluron,A,0.0043,0.0011,M,GT,CA,,,O,805,35,20,,CA,,,
CA2201100570BUNY1,BU,223,Permethrin trans,O,0.0023,0.0014,M,GT,CA,Q,,O,805,35,3,,CA,,,
CA2201100614BUNY1P,BU,223,Permethrin trans,O,0.0023,0.0014,M,GT,CA,Q,,O,805,35,3,,CA,,,
CA2201100614BUNY1P,BU,222,Permethrin cis,O,0.0018,0.0011,M,GT,CA,Q,,O,805,35,3,,CA,,,
CA2201100616BUNY1P,BU,910,"DDE p,p'",A,0.0037,0.0011,M,GT,CA,,,O,805,35,1.25 AL,,CA,,,
CA2201100616BUNY1P,BU,AFX,Novaluron,A,0.018,0.0011,M,GT,CA,,,O,805,35,20,,CA,,,
CA2201100004BZWA1A,BZ,B80,Acetamiprid,A,0.014,0.0015,M,LU,CA,,,O,805,64,1.6,,CA,,,
CA2201240017CEFL1,CE,144,Dicloran,A,0.21,0.005,M,GT,CA,,,O,P90,35,15,,CA,,,
CA2201240090CEFL1,CE,264,Propiconazole,L,0.041,0.01,M,LU,CA,,,O,P90,52,5,,CA,,,
CA2201240185CEFL1,CE,129,Linuron,A,0.025,0.019,M,GT,CA,,,O,P90,35,0.5 R,,CA,,,
CA2201240199CEFL1,CE,264,Propiconazole,L,0.11,0.01,M,LU,CA,,,O,P90,52,5,,CA,,,
CA2201240199CEFL1,CE,204,Acephate,C,1,0.05,M,LU,CA,,,O,P90,52,10,,CA,,,
CA2201240199CEFL1,CE,AKD,Penthiopyrad,A,0.014,0.01,M,LU,CA,,,O,P90,52,30,,CA,,,
CA2201240199CEFL1,CE,537,Oxamyl,E,0.013,0.01,M,LU,CA,,,O,P90,52,10,,CA,,,
CA2201240199CEFL1,CE,B75,Boscalid,A,0.064,0.01,M,LU,CA,,,O,P90,52,45,,CA,,,
CA2201240199CEFL1,CE,170,Methamidophos,C,0.029,0.01,M,LU,CA,,,O,P90,52,10 TP,,CA,,,
CA2201240431CEFL1,CE,264,Propiconazole,L,0.017,0.01,M,LU,CA,,,O,P90,52,5,,CA,,9.9,
CA2201240431CEFL1,CE,52,Malathion,C,0.013,0.01,M,LU,CA,,,O,P90,52,8,,CA,,,
CA2201240499CEFL1,CE,B75,Boscalid,A,0.037,0.01,M,LU,CA,,,O,P90,52,45,,CA,,,
CA2201240499CEFL1,CE,539,Permethrin Total,O,0.034,0.005,M,GT,CA,,,O,P90,35,5,,CA,,,
